InputID,TargetID
I213p,I260b
I213p,I262p
I213p,I265p
I214p,I175p
I214p,I181p
I214p,I212p
I214p,I213p
I214p,I215p
I214p,I259p
I214p,I260a
I214p,I260b
I214p,I265p
I214p,I272p
I215p,I175p
I215p,I177p
I215p,I181p
I215p,I213p
I215p,I214p
I215p,I216p
I215p,I265p
I215p,I268p
I215p,I272p
I215p,I274p
I216p,I181p
I216p,I214p
I216p,I215p
I216p,I265p
I216p,I268p
I216p,K247p
I216p,K249p
I216p,K279p
I216p,K286p
I216p,K287p
I223p,H123p
I223p,I184p
I223p,I185p
I223p,I187p
I223p,I188p
I223p,I224p
I223p,I225p
I223p,I227p
I223p,O002p
I223p,O007p
I224p,H123p
I224p,I187p
I224p,I223p
